SiteID	LatDD	LonDD	StreamName	Source	State	UBA_ha	Aspect_deg	Slope_per	Elev_m	Notes
3F100	38.286614	-78.695198	Rocky Mt Run	Williams	VA	832.7	94.6	0.1	414.1	NA
3F101	38.261295	-78.702232	Big Run	Williams	VA	371.6	30.7	5	494.7	NA
3F102	38.329491	-78.668068	Two Mile Run	Williams	VA	515.5	271.2	1.8	393.1	NA
3F103	38.334248	-78.67157	Two Mile Run	Williams	VA	558.2	249.5	5.7	370	NA
3F104	38.300758	-78.732773	Lower Lewis Run	Williams	VA	286.4	4.8	3.8	414	NA
3F105	38.2967	-78.727348	Lower Lewis Run	Williams	VA	258.7	9.8	8.1	446.6	NA
3F106	38.293564	-78.725716	Lower Lewis Run	Williams	VA	223.4	49.3	27.4	462.6	NA
3F107	38.158901	-78.811783	Meadow Run	Williams	VA	893.1	305	3.5	449.9	NA
3F108	38.160297	-78.803207	Meadow Run	Williams	VA	855.1	162.9	8.2	476.1	NA
3F109	38.165264	-78.795914	Meadow Run	Williams	VA	655.5	334.6	6.5	511.5	NA
3F123	38.198669	-78.793381	Paine Run	Williams	VA	1268.6	66.4	2.8	424.5	NA
3F124	38.194737	-78.784065	Paine Run	Williams	VA	932.4	270.7	2.3	444.9	NA
3F125	38.195538	-78.778122	Paine Run	Williams	VA	793.5	328.7	17.2	457.7	NA
3F126	38.324535	-78.686287	Onemile Run	Williams	VA	735.9	320.7	4.8	377.7	NA
3F127	38.31868	-78.681175	Onemile Run	Williams	VA	440.6	355.5	3.7	410.3	NA
3F128	38.314457	-78.671906	Onemile Run	Williams	VA	327.9	269.6	17.5	450.4	NA
3F143	38.096981	-78.807671	Sawmill Run	Williams	VA	618.1	343.1	1.6	464.9	NA
3F144	38.098885	-78.804718	Sawmill Run	Williams	VA	595.1	117.3	7	471.1	NA
3F263	38.317291	-78.631401	Hawsbill Creek	Williams	VA	536.7	236.7	0.4	460.5	NA
ADB-1	35.599041	-83.398789	Aden Branch	Kulp	NC	239.1	55.5	23	1101.1	NA
AMCR	34.98946	-83.273041	Ammons Creek	Rabern	GA	207.5	179.9	8.2	815	NA
BACR	34.967964	-83.264725	Bailey Creek	Rabern	GA	183	109	13.9	747.7	NA
BARU	39.48056	-76.698273	Baisman Run	Kashiwagi	MD	171	325.9	13.2	169.6	MBSS siteID: LOCH-120
BCCR	34.766422	-83.984062	Board Camp Creek	Rabern	GA	297.9	205.4	8.6	903.1	Rabern "Station 2"
BEC-1	35.635685	-83.145775	Beech Creek	Kulp	NC	1140.3	55.3	11.6	1018.3	NA
BEC-2	35.635021	-83.149178	Beech Creek	Kulp	NC	1110.3	23.7	20.3	1037.9	NA
BECR	39.650158	-79.290634	Bear Creek	Kashiwagi	MD	2924.1	199.9	1.4	636	MBSS siteID: YOUG-432
BEDR	41.378193	-78.337952	Bell Draft	Sweka	PA	977.4	104.2	3.7	391.9	NA
BEF-1	35.591858	-83.375755	Beech Flats Prong	Kulp	NC	1490.8	134.1	6.1	916.9	NA
BEF-2	35.600643	-83.407578	Beech Flats Prong	Kulp	NC	375.3	129.1	6.2	1146.6	NA
BHCR	39.633812	-77.477257	Big Hunting Creek	Mullican	MD	811.6	142.3	3.6	410	NA
